Word;Frequency;%
reads;4;0.0125188
ready;4;0.0125188
remembrance;4;0.0125188
returnd;4;0.0125188
rose;4;0.0125188
secret;4;0.0125188
seeing;4;0.0125188
send;4;0.0125188
sends;4;0.0125188
shortly;4;0.0125188
sick;4;0.0125188
sigh;4;0.0125188
six;4;0.0125188
slave;4;0.0125188
sleeping;4;0.0125188
sleeps;4;0.0125188
snow;4;0.0125188
sorry;4;0.0125188
spade;4;0.0125188
speed;4;0.0125188
stands;4;0.0125188
stars;4;0.0125188
start;4;0.0125188
stop;4;0.0125188
straight;4;0.0125188
strong;4;0.0125188
stronger;4;0.0125188
tale;4;0.0125188
teach;4;0.0125188
ten;4;0.0125188
tend;4;0.0125188
tender;4;0.0125188
thence;4;0.0125188
thinking;4;0.0125188
thrice;4;0.0125188
thrift;4;0.0125188
throat;4;0.0125188
tomorrow;4;0.0125188
took;4;0.0125188
treasure;4;0.0125188
turnd;4;0.0125188
twas;4;0.0125188
twice;4;0.0125188
twill;4;0.0125188
unnatural;4;0.0125188
violence;4;0.0125188
violent;4;0.0125188
warrant;4;0.0125188
wear;4;0.0125188
weeds;4;0.0125188
weep;4;0.0125188
whereto;4;0.0125188
white;4;0.0125188
wi;4;0.0125188
wide;4;0.0125188
wild;4;0.0125188
wittenberg;4;0.0125188
wretched;4;0.0125188
ye;4;0.0125188
yea;4;0.0125188
aboard;3;0.00938908
accident;3;0.00938908
actor;3;0.00938908
addition;3;0.00938908
admiration;3;0.00938908
advice;3;0.00938908
affliction;3;0.00938908
ah;3;0.00938908
alack;3;0.00938908
along;3;0.00938908
ambitious;3;0.00938908
angels;3;0.00938908
appear;3;0.00938908
appeard;3;0.00938908
argal;3;0.00938908
armour;3;0.00938908
assay;3;0.00938908
avoid;3;0.00938908
beating;3;0.00938908
beckons;3;0.00938908
becomes;3;0.00938908
beggar;3;0.00938908
below;3;0.00938908
bend;3;0.00938908
bent;3;0.00938908
bitter;3;0.00938908
blame;3;0.00938908
bless;3;0.00938908
blow;3;0.00938908
bold;3;0.00938908
born;3;0.00938908
borne;3;0.00938908
bow;3;0.00938908
boy;3;0.00938908
brave;3;0.00938908
breathe;3;0.00938908
brow;3;0.00938908
burst;3;0.00938908
canst;3;0.00938908
captain;3;0.00938908
carry;3;0.00938908
ceremony;3;0.00938908
chamber;3;0.00938908
chaste;3;0.00938908
cheer;3;0.00938908
chief;3;0.00938908
children;3;0.00938908
clay;3;0.00938908
close;3;0.00938908
clowns;3;0.00938908
complexion;3;0.00938908
